                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2619,                  1.485,                 1.3168,                0.81165,                0.82436,                0.82239,                0.51859,                 1.1559,                0.98952,                 1.1237,              0.0033315,              0.0033315,              0.0033315
                      1,                 1.2271,                0.95658,                 1.2817,                0.70825,                0.81142,                0.72466,                0.43545,                 1.2855,                 1.0297,                 1.2712,              0.0066516,              0.0066516,              0.0066516
                      2,                 1.2629,                0.90127,                 1.3155,                0.86094,                0.82219,                 0.8424,                0.52965,                 1.1918,                0.70824,                 1.2234,              0.0099585,              0.0099585,              0.0099585
                      3,                 1.2617,                0.86674,                 1.3232,                0.85643,                0.84174,                 0.8488,                0.52979,                 1.2035,                 0.6514,                  1.227,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.2085,                0.79378,                 1.3084,                0.79664,                 0.8349,                0.82539,                0.53353,                  1.173,                0.73122,                 1.2515,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.1776,                0.75633,                 1.2847,                0.83294,                0.89593,                0.85345,                0.55618,                 1.1364,                0.60902,                 1.2144,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.1535,                0.73182,                   1.27,                 0.8344,                0.89382,                0.85582,                0.55584,                 1.1263,                0.63077,                 1.1999,               0.009901,               0.009901,               0.009901
                      7,                 1.1332,                0.70682,                 1.2698,                0.82271,                 0.8903,                0.87111,                0.58767,                 1.0844,                0.59384,                 1.2076,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.1178,                0.69451,                 1.2616,                0.85646,                0.87816,                0.86617,                0.59012,                 1.0452,                0.52845,                 1.1699,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1003,                0.68305,                 1.2527,                0.85731,                0.90893,                0.88039,                0.59919,                 1.0621,                0.54655,                  1.161,              0.0098416,              0.0098416,              0.0098416
                     10,                  1.091,                0.66377,                 1.2465,                0.84348,                0.88066,                0.86815,                0.59124,                 1.0625,                0.54842,                 1.1481,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.0761,                0.65442,                 1.2434,                0.85649,                0.91577,                 0.8801,                0.60993,                 1.0563,                0.51353,                  1.184,               0.009802,               0.009802,               0.009802
                     12,                 1.0657,                0.64578,                 1.2368,                0.86179,                0.89016,                0.88499,                0.62159,                 1.0716,                0.54312,                 1.1691,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.0544,                0.63313,                 1.2337,                0.84377,                0.91349,                0.87984,                0.60727,                 1.0416,                0.49565,                 1.1804,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.0528,                0.63316,                  1.233,                0.85208,                0.90591,                0.88887,                 0.6245,                 1.0396,                0.49915,                 1.1916,              0.0097426,              0.0097426,              0.0097426
                     15,                 1.0497,                0.62902,                  1.227,                0.86254,                0.90929,                0.88955,                0.62321,                 1.0104,                0.46735,                 1.1342,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.0437,                0.62363,                 1.2241,                0.85348,                0.90834,                0.89199,                0.63082,                 1.0335,                 0.4976,                 1.1627,               0.009703,               0.009703,               0.009703
                     17,                 1.0329,                0.61604,                 1.2173,                0.86417,                0.90377,                0.89743,                 0.6315,                 1.0275,                0.48753,                 1.1643,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.0276,                0.60628,                 1.2163,                0.85251,                0.90899,                0.88379,                0.62235,                 1.0325,                0.48752,                 1.1689,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.0244,                0.60878,                 1.2128,                 0.8456,                0.89736,                0.88833,                0.63229,                 1.0108,                0.47364,                 1.1499,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.0234,                0.60669,                 1.2176,                0.85363,                0.90627,                0.89407,                0.63043,                 1.0239,                0.48307,                 1.1643,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.0163,                0.59897,                 1.2087,                0.85146,                0.91484,                0.89431,                0.63255,                 1.0213,                0.47489,                  1.154,               0.009604,               0.009604,               0.009604
                     22,                 1.0136,                0.60219,                 1.2019,                 0.8637,                0.89711,                0.89864,                0.63777,                 1.0205,                0.46728,                  1.149,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.0051,                0.59415,                 1.2048,                0.85512,                 0.9045,                0.89995,                0.63798,                 1.0168,                0.46949,                 1.1562,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.0029,                0.58644,                 1.1977,                0.85193,                0.91127,                0.90024,                0.64522,                 1.0068,                0.46302,                  1.145,              0.0095446,              0.0095446,              0.0095446
                     25,                0.99833,                0.58598,                 1.1978,                0.86444,                0.90346,                0.89955,                0.64494,                 1.0057,                0.46092,                 1.1396,              0.0095248,              0.0095248,              0.0095248
                     26,                0.99679,                0.58536,                 1.1938,                0.86285,                0.90118,                0.90065,                0.64191,                 1.0098,                0.45897,                 1.1346,               0.009505,               0.009505,               0.009505
                     27,                 0.9968,                0.58082,                 1.1864,                0.85463,                0.90988,                 0.9032,                0.64067,                 1.0157,                0.46034,                 1.1283,              0.0094852,              0.0094852,              0.0094852
                     28,                0.99066,                0.58031,                 1.1852,                0.86028,                0.91081,                 0.9052,                0.64379,                 1.0115,                0.45447,                 1.1227,              0.0094654,              0.0094654,              0.0094654
                     29,                 0.9896,                0.57949,                 1.1885,                0.85461,                0.91323,                 0.9052,                0.64667,                 1.0085,                0.45084,                 1.1218,              0.0094456,              0.0094456,              0.0094456
                     30,                0.98357,                0.57495,                 1.1901,                0.85853,                0.91104,                 0.9052,                0.65052,                 1.0065,                0.45083,                 1.1281,              0.0094258,              0.0094258,              0.0094258
                     31,                0.98221,                0.57113,                 1.1861,                0.85312,                0.91315,                0.90361,                 0.6496,                 1.0088,                 0.4523,                  1.131,               0.009406,               0.009406,               0.009406
                     32,                0.98183,                 0.5698,                 1.1908,                0.85759,                0.90946,                0.90537,                0.65197,                 1.0094,                0.45288,                 1.1325,              0.0093862,              0.0093862,              0.0093862
                     33,                0.98148,                0.57167,                 1.1865,                0.86036,                0.90859,                0.90627,                0.65316,                 1.0108,                0.45196,                  1.135,              0.0093664,              0.0093664,              0.0093664
                     34,                0.97711,                0.56962,                  1.184,                   0.86,                0.90818,                0.90517,                0.65201,                   1.01,                0.45259,                 1.1355,              0.0093466,              0.0093466,              0.0093466
                     35,                0.97824,                0.56982,                 1.1815,                0.85882,                0.91312,                0.90476,                0.65208,                 1.0089,                 0.4495,                 1.1334,              0.0093268,              0.0093268,              0.0093268
                     36,                0.97429,                0.56854,                 1.1861,                 0.8607,                0.90674,                0.90442,                  0.652,                 1.0068,                 0.4485,                 1.1319,               0.009307,               0.009307,               0.009307
                     37,                0.97362,                0.56819,                 1.1795,                0.86024,                0.90735,                0.90336,                0.64964,                 1.0052,                0.44803,                 1.1303,              0.0092872,              0.0092872,              0.0092872
                     38,                0.96762,                0.55885,                  1.175,                0.85278,                0.91816,                0.90288,                0.65073,                 1.0047,                0.44658,                 1.1292,              0.0092674,              0.0092674,              0.0092674
                     39,                0.96734,                0.56316,                 1.1841,                0.85226,                0.91549,                0.90232,                0.65093,                 1.0036,                0.44653,                 1.1305,              0.0092476,              0.0092476,              0.0092476
                     40,                0.96598,                0.56017,                 1.1757,                0.85378,                0.91459,                0.90126,                0.64929,                 1.0034,                0.44646,                 1.1307,              0.0092278,              0.0092278,              0.0092278
                     41,                0.96531,                0.56113,                 1.1777,                 0.8571,                0.90728,                0.90132,                0.64936,                  1.003,                0.44612,                 1.1308,               0.009208,               0.009208,               0.009208
                     42,                0.96431,                0.55687,                 1.1779,                0.85614,                0.90717,                0.90392,                0.65095,                 1.0025,                0.44589,                 1.1313,              0.0091882,              0.0091882,              0.0091882
                     43,                0.95907,                0.55372,                 1.1739,                0.85557,                 0.9087,                0.90427,                0.65291,                 1.0016,                0.44573,                  1.131,              0.0091684,              0.0091684,              0.0091684
                     44,                0.96392,                 0.5619,                 1.1807,                0.85143,                0.91308,                0.90341,                0.65241,                 1.0009,                 0.4453,                 1.1306,              0.0091486,              0.0091486,              0.0091486
